page_type,page,keyword,avg_monthly,competition,source_run,source_file,recommendation,reason
L2 Product,Public Restroom Solutions,commercial restroom products,50,Unknown,2.0,public-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial restroom sinks,50,Unknown,2.0,public-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial restroom stalls,50,Unknown,2.0,public-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial restroom trash can,50,Unknown,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,commercial toilet partitions,50,Unknown,2.0,public-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,fancy public restrooms,50,Unknown,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,glass public restroom,50,Low,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L2 Product,Public Restroom Solutions,luxury public restrooms,50,Unknown,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L1 Product,Kitchen Appliances & Sinks,kitchen sink chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil kitchen sink,500,High,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,franke kitchen sink,500,High,2.0,franke-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,best kitchen chimney in chennai,50,High,2.0,chimney.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil kitchen sink dealers near me,50,Unknown,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil kitchen sink near me,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil kitchen sink price,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,carysil quartz kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,faber kitchen chimney price in chennai,50,Unknown,2.0,chimney.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,franke kitchen sink chennai,50,High,2.0,franke.csv,Keep,Relevant
L1 Product,Kitchen Appliances & Sinks,franke kitchen sink near me,50,Low,2.0,franke-wide.csv,Keep,Relevant
L2 Product,Sinks,kitchen sink chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Sinks,carysil kitchen sink dealers near me,50,Unknown,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil kitchen sink near me,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil kitchen sink price,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil quartz kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil quartz sink price,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,carysil stainless steel sink price,50,Unknown,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Sinks,franke kitchen sink chennai,50,High,2.0,franke.csv,Keep,Relevant
